Date,Description,Amount,Transaction Type,Category,Account Name
03/18/2019,Phone Company,162.91,debit,Restaurants,Platinum Card
11/05/2018,Biweekly Paycheck,64.4,credit,Credit Card Payment,Checking
01/11/2018,Internet Service Provider,1.75,debit,Restaurants,Platinum Card
01/18/2019,Biweekly Paycheck,197.94,credit,Restaurants,Checking
04/11/2018,Gas Company,194.31,debit,Restaurants,Platinum Card
01/03/2018,Credit Card Payment,3299.12,credit,Credit Card Payment,Checking
02/21/2018,Shell,154.51,debit,Shopping,Platinum Card
01/03/2019,Best Buy,26.84,debit,Mortgage & Rent,Checking
08/15/2018,Spotify,1.75,debit,Restaurants,Platinum Card
07/31/2018,Netflix,1.75,debit,Mortgage & Rent,Platinum Card
09/17/2018,Grocery Store,48.82,debit,Shopping,Platinum Card
10/28/2018,Thai Restaurant,1.75,debit,Shopping,Platinum Card
04/02/2018,Credit Card Payment,1.75,credit,Credit Card Payment,Checking
04/02/2018,Shell,405.73,debit,Auto Insurance,Platinum Card
09/22/2018,Amazon,91.16,debit,Mortgage & Rent,Checking
02/27/2018,Best Buy,199.96,debit,Music,Platinum Card
04/06/2018,Biweekly Paycheck,862.45,credit,Paycheck,Checking
03/23/2018,Netflix,1.75,debit,Groceries,Platinum Card
03/13/2019,Credit Card Payment,149.53,credit,Auto Insurance,Platinum Card
01/05/2019,Credit Card Payment,155.44,debit,Restaurants,Silver Card
11/12/2018,Hardware Store,200.09,debit,Gas & Fuel,Platinum Card
04/30/2019,Biweekly Paycheck,1408.44,credit,Paycheck,Checking
06/04/2018,Belgian Restaurant,1.75,debit,Alcohol & Bars,Platinum Card
01/21/2019,Grocery Store,118.24,debit,Gas & Fuel,Platinum Card
01/09/2018,Mike's Construction Co.,1.75,debit,Utilities,Silver Card
04/24/2018,Hardware Store,187.51,debit,Restaurants,Platinum Card
08/20/2018,Internet Service Provider,1.75,debit,Restaurants,Platinum Card
05/19/2018,Gas Company,29.55,debit,Utilities,Checking
01/21/2019,Biweekly Paycheck,2451.25,credit,Credit Card Payment,Platinum Card
01/03/2018,Credit Card Payment,891.25,credit,Credit Card Payment,Checking
07/31/2018,BP,1.75,debit,Coffee Shops,Platinum Card
04/24/2018,Latin Restaurant,119.6,debit,Movies & DVDs,Silver Card
01/03/2018,City Water Charges,1.75,debit,Restaurants,Platinum Card
07/08/2018,Mortgage Payment,1.75,debit,Fast Food,Platinum Card
02/01/2019,City Water Charges,936.33,debit,Auto Insurance,Checking
01/14/2019,Gas Company,118.14,debit,Internet,Checking
06/04/2018,Grocery Store,194.36,debit,Gas & Fuel,Platinum Card
12/24/2018,Best Buy,17.92,debit,Groceries,Platinum Card
05/15/2018,Hardware Store,1.75,debit,Mortgage & Rent,Platinum Card
09/20/2018,Credit Card Payment,1.75,debit,Credit Card Payment,Platinum Card
11/02/2018,QuikTrip,1.75,debit,Restaurants,Silver Card
05/10/2018,Netflix,197.08,debit,Restaurants,Silver Card
12/06/2018,Phone Company,82.93,debit,Restaurants,Silver Card
07/08/2018,Hardware Store,1.75,debit,Restaurants,Platinum Card
02/07/2019,Exxon,185.59,debit,Groceries,Platinum Card
04/08/2019,City Water Charges,198.25,debit,Alcohol & Bars,Platinum Card
07/18/2018,Valero,53.88,debit,Groceries,Platinum Card
05/19/2018,Credit Card Payment,194.51,debit,Restaurants,Platinum Card
06/10/2018,Thai Restaurant,186.4,debit,Home Improvement,Platinum Card
10/06/2018,Biweekly Paycheck,3179.04,credit,Credit Card Payment,Checking
01/05/2019,Biweekly Paycheck,829.03,credit,Paycheck,Checking
06/05/2019,Brewing Company,1.75,debit,Utilities,Checking
03/16/2018,BP,166.35,debit,Restaurants,Platinum Card
06/10/2018,Greek Restaurant,17.9,debit,Gas & Fuel,Platinum Card
09/01/2018,Grocery Store,1.75,debit,Coffee Shops,Silver Card
05/12/2018,Internet Service Provider,1.75,debit,Credit Card Payment,Checking
05/28/2019,Chick-Fil-A,1.75,debit,Movies & DVDs,Checking
09/20/2019,Mortgage Payment,31.56,debit,Restaurants,Checking
01/04/2019,Gas Station,134.26,debit,Restaurants,Silver Card
03/12/2019,Biweekly Paycheck,2708.17,credit,Credit Card Payment,Checking
02/01/2019,BP,199.96,debit,Groceries,Checking
03/23/2019,Brewing Company,91.38,debit,Restaurants,Platinum Card
01/05/2019,American Tavern,196.55,debit,Utilities,Checking
