1,Internet,expense
2,Restaurants,expense
3,Alcohol & Bars,expense
4,Mortgage & Rent,expense
5,Haircut,expense
6,Auto Insurance,expense
7,Fast Food,expense
8,Coffee Shops,expense
9,Utilities,expense
10,Groceries,expense
11,Home Improvement,expense
12,Shopping,expense
13,Gas & Fuel,expense
14,Music,expense
15,Movies & DVDs,expense
16,Food & Dining,expense
17,Mobile Phone,expense
18,Electronics & Software,expense
19,Television,expense
20,Entertainment,expense
101,Salary,income
102,Mutual Funds,income
103,Stocks,income
