4a767d2d,2021-08-29,abc123,a782-4067,960,1
1a65316e,2021-08-29,abc123,4b4c-4c28,64,2
c4067c0a,2021-08-29,38fa-4605,abc123,4050,103
1911e3b0,2021-08-29,abc123,a801-48c4,64,3
c0677282,2021-08-29,3072-4b1c,abc123,626,101
5cc8f14d,2021-08-29,abc123,97d2-43ea,64,2
0ffe26e2,2021-08-29,abc123,d61f-4c44,64,4
46214894,2021-08-29,abc123,2c83-41d8,64,5
be462e31,2021-08-29,93ff-4c74,abc123,834,103
93c9fcd0,2021-08-29,abc123,2ff3-47b8,64,6
ef372620,2021-08-29,41ed-4c69,abc123,769,101
ae7c5053,2021-08-29,abc123,2331-4940,157,7
6a662a86,2021-08-29,abc123,a627-4d88,48,103
ffe9db21,2021-08-29,abc123,d537-48ea,64,7
b5e3f1bf,2021-08-29,ec00-4fde,abc123,2527,101
5a92b4cf,2021-08-29,abc123,8c51-416f,64,2
17b45c21,2021-08-29,abc123,0655-4c34,64,8
4e98a36b,2021-08-29,abc123,32d6-48fa,192,9
cac808a4,2021-08-29,abc123,986c-4108,166,103
6a25eee9,2021-08-29,abc123,8d13-4938,64,9
79acd7da,2021-08-29,7e45-4225,abc123,937,102
8baf5625,2021-08-29,6ac6-4dfc,abc123,397,102
63e8190c,2021-08-29,abc123,6122-4ec0,64,10
3be35c0b,2021-08-29,abc123,8d0b-474b,178,2
cc93d991,2021-08-29,abc123,0bd6-417b,64,11
40957eac,2021-08-29,abc123,2343-496f,171,3
0f9007d4,2021-08-29,abc123,75f8-4662,97,12
3ad39559,2021-08-29,d5f4-4582,abc123,1915,102
64955e4e,2021-08-29,abc123,10ec-4812,64,3
43e4dbb9,2021-08-29,9121-4871,abc123,3153,101
5dd2d6ca,2021-08-29,abc123,7abf-4d78,21,2
dd6c9aa5,2021-08-29,abc123,f8f0-41e1,64,103
3f1fb406,2021-08-29,1323-4ec8,abc123,2084,103
040cade2,2021-08-29,b749-4eb4,abc123,3061,101
7e53d673,2021-08-29,abc123,473f-4b1b,30,2
fdb7849d,2021-08-29,abc123,e519-4335,64,2
d21210b3,2021-08-29,ac86-4d5f,abc123,602,101
beb7f2a0,2021-08-29,abc123,dcaa-464c,179,11
60416654,2021-08-29,abc123,d089-4524,64,13
8ce2ce0a,2021-08-29,abc123,6e84-4469,64,2
62a3738f,2021-08-30,abc123,6ac0-48af,64,2
4434ae8f,2021-08-30,abc123,7934-4c03,61,11
88940856,2021-08-30,abc123,c3fc-434d,188,9
083a96b5,2021-08-30,9a07-4682,abc123,196,102
1455d68f,2021-08-30,abc123,fe9b-475e,192,9
