transaction_id,Date,sender_id,receiver_id,Amount,Transaction Type,Category
d46b870e,2021-08-29,abc123,e92e-4f80,960.92,expense,Internet
34fe625d,2021-08-29,abc123,b53d-4d56,1.75,expense,Restaurants
e7fa7817,2021-08-29,8687-437b,abc123,1.75,income,Stocks
58badde2,2021-08-29,abc123,18e4-4988,1.75,expense,Alcohol & Bars
9236a21c,2021-08-29,c639-4b57,abc123,626.54,income,Salary
51becbf5,2021-08-29,abc123,272a-49c5,1.75,expense,Restaurants
a419aceb,2021-08-29,abc123,4961-438d,1.75,expense,Mortgage & Rent
93de5892,2021-08-29,abc123,0d25-478a,1.75,expense,Haircut
2cc36d89,2021-08-29,6fd1-47c8,abc123,834.23,income,Stocks
a8d8208b,2021-08-29,abc123,98b1-4760,1.75,expense,Auto Insurance
78703fdb,2021-08-29,eb59-4fe5,abc123,769.44,income,Salary
3c26714f,2021-08-29,abc123,b07a-40e4,157.54,expense,Fast Food
d7851e88,2021-08-29,abc123,b647-485b,48.15,income,Mutual Funds
deb4032c,2021-08-29,abc123,f585-4efb,1.75,expense,Fast Food
1b167ecf,2021-08-29,e5b5-4d0f,abc123,2527.27,income,Salary
9e5f0049,2021-08-29,abc123,be2d-4af7,1.75,expense,Restaurants
c3ac5b72,2021-08-29,abc123,ad77-48b0,1.75,expense,Coffee Shops
841abd22,2021-08-29,abc123,0921-425c,192.17,expense,Utilities
8d8f928b,2021-08-29,abc123,1baf-4038,166.44,income,Stocks
c2eea32d,2021-08-29,abc123,1c7d-40a9,1.75,expense,Utilities
e9f9c871,2021-08-29,0635-44d8,abc123,937.68,income,Mutual Funds
1562233c,2021-08-29,3f95-46af,abc123,397.6,income,Stocks
c0b23fbf,2021-08-29,abc123,0a30-479d,1.75,expense,Groceries
81c6c7f5,2021-08-29,abc123,9629-4601,178.9,expense,Restaurants
788cb92b,2021-08-29,abc123,f5b5-4292,1.75,expense,Home Improvement
b89d93c6,2021-08-29,abc123,870d-4e29,171.47,expense,Alcohol & Bars
1e65969a,2021-08-29,abc123,f5ce-44aa,97.82,expense,Shopping
4e7343b4,2021-08-29,434f-446d,abc123,1915.67,income,Mutual Funds
94991b0e,2021-08-29,abc123,ab40-460d,1.75,expense,Alcohol & Bars
5655a7a4,2021-08-29,3c59-4950,abc123,3153.27,income,Salary
16754649,2021-08-29,abc123,3002-4104,21.34,expense,Restaurants
da5c43f0,2021-08-29,abc123,1905-4e9a,1.75,income,Mutual Funds
271be89a,2021-08-29,c006-4d28,abc123,2084.72,income,Mutual Funds
15a80970,2021-08-29,46e3-4eab,abc123,3061.47,income,Salary
d76d0c35,2021-08-29,abc123,56d7-40a8,30.65,expense,Restaurants
644d2720,2021-08-29,abc123,dfdf-4b79,1.75,expense,Restaurants
224b94c7,2021-08-29,bf51-4686,abc123,602.5,income,Salary
babce756,2021-08-29,abc123,26bf-4eea,179.15,expense,Home Improvement
8b5c4371,2021-08-29,abc123,fd4b-4bd1,1.75,expense,Gas & Fuel
d7e1d60b,2021-08-29,abc123,6397-4c3b,1.75,expense,Restaurants
6b220a1a,2021-08-30,abc123,fb3a-4005,1.75,expense,Restaurants
5eb81fa5,2021-08-30,abc123,d60a-4164,61.0,expense,Home Improvement
d08e2efe,2021-08-30,abc123,fc24-4029,188.71,expense,Utilities
d3283193,2021-08-30,9bd7-4757,abc123,196.17,income,Stocks
82aefcee,2021-08-30,abc123,e5c9-429b,192.56,expense,Utilities
3c6d08ca,2021-08-30,abc123,9f62-4f06,121.85,income,Stocks
27a74ef3,2021-08-30,abc123,973d-48a6,1.75,expense,Fast Food
52b36bc5,2021-08-30,abc123,04df-48b4,190.1,expense,Music
133d44a9,2021-08-30,abc123,da0a-4448,1.75,expense,Restaurants
8b96e51b,2021-08-30,abc123,0fb3-4e85,144.87,expense,Movies & DVDs
ccae667c,2021-08-30,abc123,c47c-49df,2002.81,income,Salary
ea3f72a3,2021-08-30,abc123,beb4-4607,1.75,income,Stocks
e7a60582,2021-08-31,abc123,53b9-4398,1.75,expense,Home Improvement
8f261d0f,2021-08-31,abc123,4638-4edc,233.19,income,Mutual Funds
a36fb739,2021-08-31,abc123,26d3-42e1,152.56,expense,Restaurants
4f520ae9,2021-08-31,abc123,576b-4732,1.75,expense,Movies & DVDs
e3f149c3,2021-08-31,abc123,e5b5-4a68,196.76,expense,Alcohol & Bars
c3a6a026,2021-08-31,abc123,f628-4387,189.88,expense,Food & Dining
8881f0de,2021-08-31,abc123,6bee-48ac,176.8,income,Mutual Funds
8ed7971c,2021-08-31,abc123,679b-47db,1.75,expense,Restaurants
01eb6ef7,2021-08-31,2efd-45f2,abc123,1.75,income,Stocks
eb88c0b3,2021-08-31,7e46-49fe,abc123,2937.83,income,Salary
3d66c545,2021-08-31,abc123,7ddb-4efd,196.61,expense,Mobile Phone
848f0a38,2021-08-31,abc123,b525-4600,2020.57,income,Mutual Funds
d3d4b0bf,2021-08-31,6646-4ff3,abc123,6.51,income,Mutual Funds
fde2ba10,2021-08-31,abc123,ffab-47e2,1.75,expense,Gas & Fuel
c3ce4881,2021-08-31,abc123,5bbe-4bb1,2111.44,income,Mutual Funds
bc6bb767,2021-08-31,abc123,90a7-4ac6,189.95,expense,Restaurants
2197a54e,2021-08-31,abc123,58b2-4a3e,159.44,expense,Utilities
a4002acd,2021-08-31,abc123,2b09-4293,200.58,expense,Mobile Phone
c127f3ac,2021-08-31,0615-40f8,abc123,1.75,income,Mutual Funds
e3b9a24b,2021-08-31,abc123,0c95-498f,170.96,expense,Movies & DVDs
0dab5c1d,2021-08-31,ba56-4939,abc123,3299.12,income,Mutual Funds
a98f83de,2021-08-31,7658-43f7,abc123,891.25,income,Stocks
d8662e84,2021-08-31,abc123,c477-40bf,185.92,expense,Restaurants
36370747,2021-08-31,abc123,323c-432f,1.75,expense,Restaurants
fde61272,2021-08-31,b587-4436,abc123,987.63,income,Mutual Funds
41d22584,2021-09-01,abc123,149c-4669,532.99,expense,Coffee Shops
ce8a6fda,2021-09-01,abc123,ec8d-4bb9,3354.61,income,Salary
9d60d33d,2021-09-01,abc123,98a6-42ea,19.78,expense,Gas & Fuel
4e4b28a0,2021-09-01,abc123,8ca2-4df9,198.12,expense,Internet
e2911290,2021-09-01,abc123,4b2c-40e5,81.76,expense,Groceries
b3bf90f9,2021-09-01,abc123,6002-4b6e,2060.01,expense,Gas & Fuel
71b63a1c,2021-09-02,abc123,8af4-4926,157.44,expense,Utilities
eca7d624,2021-09-02,abc123,2188-4e03,54.76,expense,Auto Insurance
395a8af3,2021-09-02,d2f4-4147,abc123,2223.95,income,Stocks
ca13e987,2021-09-02,abc123,633c-4932,200.3,expense,Restaurants
d4e78491,2021-09-02,824b-494b,abc123,3346.84,income,Mutual Funds
f35eebfb,2021-09-02,abc123,393b-49f4,1.75,expense,Restaurants
5402008a,2021-09-02,abc123,f56f-4d29,180.7,expense,Groceries
de561392,2021-09-02,00b1-4305,abc123,1.75,income,Stocks
5fbcd1d7,2021-09-02,abc123,63ff-43a2,181.07,expense,Restaurants
68981976,2021-09-02,abc123,0c3c-46d8,157.66,expense,Restaurants
cf5a9fb1,2021-09-02,abc123,0113-44c2,190.91,expense,Groceries
4da41c74,2021-09-02,abc123,724d-4e7f,1.75,expense,Restaurants
9b8e4555,2021-09-02,abc123,274b-4e7d,196.79,expense,Movies & DVDs
21b61f7b,2021-09-02,abc123,e622-4d54,82.51,expense,Gas & Fuel
a7b85118,2021-09-02,abc123,b196-49c5,41.69,expense,Groceries
dfaad88f,2021-09-02,abc123,8b07-4c23,161.85,expense,Alcohol & Bars
ff63307f,2021-09-02,abc123,f30f-42c6,103.97,expense,Gas & Fuel
29011468,2021-09-02,abc123,593b-4825,457.84,expense,Gas & Fuel
50f258ec,2021-09-02,2901-4a83,abc123,850.5,income,Salary
b3a043f0,2021-09-02,abc123,5330-48eb,149.46,expense,Mortgage & Rent
fffab426,2021-09-02,abc123,a0ec-4522,2120.85,expense,Mortgage & Rent
cc3b273c,2021-09-02,abc123,20dd-4803,166.81,expense,Utilities
c9c5a29b,2021-09-03,bc7c-41e3,abc123,2224.14,income,Salary
724baef7,2021-09-03,abc123,88fd-43e5,53.47,expense,Restaurants
