transaction_id,Date,sender_id,receiver_id,Amount,Transaction Type,Category
d3b83e4f,2021-08-14,abc123,313c-45c1,960.92,expense,Internet
63770774,2021-08-14,abc123,2a6f-47f5,1.75,expense,Restaurants
2646d40f,2021-08-14,d329-42d5,abc123,1.75,income,Restaurants
4920a68a,2021-08-14,abc123,f4dd-4310,1.75,expense,Alcohol & Bars
67c891cd,2021-08-14,e98a-4853,abc123,626.54,income,Paycheck
667f25e8,2021-08-14,abc123,41e7-4bce,1.75,expense,Restaurants
a753bdaa,2021-08-14,abc123,2c8b-4b20,1.75,expense,Mortgage & Rent
454aedc6,2021-08-14,abc123,6a99-434a,1.75,expense,Haircut
edd83b1e,2021-08-14,d5bb-49e0,abc123,834.23,income,Stocks
0049e5d0,2021-08-14,abc123,4c3a-48fe,1.75,expense,Auto Insurance
100b4283,2021-08-14,800a-4033,abc123,769.44,income,Paycheck
9e86ccc1,2021-08-14,abc123,7199-4ea5,157.54,expense,Fast Food
7aeb9f07,2021-08-14,abc123,437a-4070,48.15,expense,Coffee Shops
4cce4a0f,2021-08-14,abc123,1abd-4634,1.75,expense,Fast Food
5c6e4303,2021-08-14,7008-4f96,abc123,2527.27,income,Paycheck
b3f6b356,2021-08-14,abc123,a9dc-4807,1.75,expense,Restaurants
3f4f4e05,2021-08-14,abc123,60b6-411d,1.75,expense,Coffee Shops
e23526fe,2021-08-14,abc123,8fd2-4ee9,192.17,expense,Utilities
e6a7f4da,2021-08-14,abc123,0a89-4c8f,166.44,expense,Coffee Shops
078c9262,2021-08-14,abc123,7c83-4c96,1.75,expense,Utilities
9abf38d2,2021-08-14,f763-490a,abc123,937.68,income,Stocks
cc311c22,2021-08-14,8258-4f51,abc123,397.6,income,Mutual Funds
7e4bc3ec,2021-08-14,abc123,51b0-4a67,1.75,expense,Groceries
62efef20,2021-08-14,abc123,71a1-4010,178.9,expense,Restaurants
16aa5868,2021-08-14,abc123,c918-4a6a,1.75,expense,Home Improvement
f8c23e9f,2021-08-14,abc123,105c-48ba,171.47,expense,Alcohol & Bars
5c14bd3e,2021-08-14,abc123,0d5e-438b,97.82,expense,Shopping
78423922,2021-08-14,6ae2-411e,abc123,1915.67,income,Mutual Funds
5daa9c54,2021-08-14,abc123,e479-4d5b,1.75,expense,Alcohol & Bars
c37439ec,2021-08-14,9938-4a81,abc123,3153.27,income,Paycheck
f15385a4,2021-08-14,abc123,0976-4ae0,21.34,expense,Restaurants
16dbf4e4,2021-08-14,abc123,8de1-4c81,1.75,expense,Coffee Shops
f6c1bbb8,2021-08-14,0a99-4c05,abc123,2084.72,income,Stocks
4bcf9eb8,2021-08-14,64a8-4eb7,abc123,3061.47,income,Paycheck
2738ba9f,2021-08-14,abc123,7ade-4ed7,30.65,expense,Restaurants
d53cedb1,2021-08-14,abc123,6945-4a8d,1.75,expense,Restaurants
81e6afd2,2021-08-14,2715-46ce,abc123,602.5,income,Paycheck
9626713f,2021-08-14,abc123,8d74-4c1b,179.15,expense,Home Improvement
2e54138c,2021-08-14,abc123,da50-4272,1.75,expense,Gas & Fuel
a49ee72f,2021-08-14,abc123,3cc8-4bf2,1.75,expense,Restaurants
9009280c,2021-08-15,abc123,e35e-4bba,1.75,expense,Restaurants
e34f64d8,2021-08-15,abc123,0cb7-4e0a,61.0,expense,Home Improvement
b4865a59,2021-08-15,abc123,4c94-4cba,188.71,expense,Utilities
e1022965,2021-08-15,dbe7-45bc,abc123,196.17,income,Stocks
2301265f,2021-08-15,abc123,157d-40ae,192.56,expense,Utilities
7eaf4e3d,2021-08-15,abc123,9a90-46f5,121.85,expense,Coffee Shops
29863ab9,2021-08-15,abc123,c18e-404e,1.75,expense,Fast Food
fe5765c8,2021-08-15,abc123,3eb4-45a6,190.1,expense,Music
96b5af09,2021-08-15,abc123,3ac2-482d,1.75,expense,Restaurants
b0277eb4,2021-08-15,abc123,07cb-4457,144.87,expense,Movies & DVDs
24ef6086,2021-08-15,abc123,a617-4639,2002.81,expense,Paycheck
9092a90f,2021-08-15,abc123,507e-4b15,1.75,expense,Coffee Shops
27510a9c,2021-08-16,abc123,2e5b-4e5a,1.75,expense,Home Improvement
e957d305,2021-08-16,abc123,1427-4979,233.19,expense,Coffee Shops
397183d6,2021-08-16,abc123,7522-4294,152.56,expense,Restaurants
796b5fe7,2021-08-16,abc123,3d98-4908,1.75,expense,Movies & DVDs
e9fe7d04,2021-08-16,abc123,1f72-40b3,196.76,expense,Alcohol & Bars
c46fe586,2021-08-16,abc123,5b2c-4818,189.88,expense,Food & Dining
0ae3260b,2021-08-16,abc123,0162-4923,176.8,expense,Coffee Shops
b6dedd59,2021-08-16,abc123,a4e3-478f,1.75,expense,Restaurants
b08e510a,2021-08-16,d2cc-49ef,abc123,1.75,income,Stocks
6682e697,2021-08-16,c292-437f,abc123,2937.83,income,Paycheck
cffc6730,2021-08-16,abc123,ec4a-4ef0,196.61,expense,Mobile Phone
54d4cf53,2021-08-16,abc123,5fc1-48af,2020.57,expense,Coffee Shops
63bddfbe,2021-08-16,c515-4db0,abc123,6.51,income,Stocks
35cd0a8d,2021-08-16,abc123,2676-4db0,1.75,expense,Gas & Fuel
2f3abe91,2021-08-16,abc123,e8ca-4e89,2111.44,expense,Coffee Shops
69ec2294,2021-08-16,abc123,67a1-439e,189.95,expense,Restaurants
2228d03d,2021-08-16,abc123,9621-4027,159.44,expense,Utilities
e8c53b40,2021-08-16,abc123,e18a-4af0,200.58,expense,Mobile Phone
6fef4c56,2021-08-16,c4dc-45b1,abc123,1.75,income,Stocks
db862ef0,2021-08-16,abc123,31e5-4c41,170.96,expense,Movies & DVDs
ad207ec2,2021-08-16,7ae1-407c,abc123,3299.12,income,Mutual Funds
a2d619a4,2021-08-16,c4b1-4829,abc123,891.25,income,Mutual Funds
fb2cd9f1,2021-08-16,abc123,4fae-4a28,185.92,expense,Restaurants
5d87a13c,2021-08-16,abc123,68fd-415a,1.75,expense,Restaurants
fa7e8dac,2021-08-16,2b81-4ac4,abc123,987.63,income,Stocks
5da72c90,2021-08-17,abc123,c863-4954,532.99,expense,Coffee Shops
e42f720e,2021-08-17,abc123,77be-45dc,3354.61,expense,Paycheck
f6a4df45,2021-08-17,abc123,d0d4-49ab,19.78,expense,Gas & Fuel
17895f52,2021-08-17,abc123,4ab1-457b,198.12,expense,Internet
061bbd12,2021-08-17,abc123,4463-46c9,81.76,expense,Groceries
1528b884,2021-08-17,abc123,1793-49ab,2060.01,expense,Gas & Fuel
bb8908ae,2021-08-18,abc123,c950-4ba9,157.44,expense,Utilities
a94de600,2021-08-18,abc123,39f4-45dc,54.76,expense,Auto Insurance
18376501,2021-08-18,57e8-42a6,abc123,2223.95,income,Mutual Funds
